file_name,n_tokens
__MACOSX/blog/evolving-marketing-measurement/._index.html,269
blog/virtual-events/index.html,57860
__MACOSX/blog/virtual-events/._index.html,269
blog/challenges-in-not-using-leads-in-your-crm/index.html,47462
__MACOSX/blog/challenges-in-not-using-leads-in-your-crm/._index.html,269
blog/b2b-marketing-budget-cuts/index.html,47787
__MACOSX/blog/b2b-marketing-budget-cuts/._index.html,269
blog/account-based-marketing-roi/index.html,48981
__MACOSX/blog/account-based-marketing-roi/._index.html,269
blog/iron-horse-drift-solutions-partner-certification/index.html,45791
__MACOSX/blog/iron-horse-drift-solutions-partner-certification/._index.html,269
blog/employee-spotlight-meet-stephanie-siemens/index.html,45222
__MACOSX/blog/employee-spotlight-meet-stephanie-siemens/._index.html,269
blog/introducing-the-enterprise-growth-alliance/index.html,48024
__MACOSX/blog/introducing-the-enterprise-growth-alliance/._index.html,269
blog/developer-marketing-channels/index.html,47203
__MACOSX/blog/developer-marketing-channels/._index.html,269
blog/marketing-acronyms-crossword-puzzle/index.html,45668
__MACOSX/blog/marketing-acronyms-crossword-puzzle/._index.html,269
blog/hosting-virtual-event/index.html,48242
__MACOSX/blog/hosting-virtual-event/._index.html,269
blog/case-study-achieving-growth-for-1b-saas-company/index.html,44783
__MACOSX/blog/case-study-achieving-growth-for-1b-saas-company/._index.html,269
blog/smaller-companies-are-better-at-marketing-to-developers/index.html,47421
__MACOSX/blog/smaller-companies-are-better-at-marketing-to-developers/._index.html,269
blog/employee-spotlight-meet-mariska-armijo/index.html,45359
__MACOSX/blog/employee-spotlight-meet-mariska-armijo/._index.html,269
blog/marketing-automation-at-scale-defined/index.html,46723
__MACOSX/blog/marketing-automation-at-scale-defined/._index.html,269
blog/common-integrated-marketing-mistakes/index.html,47904
__MACOSX/blog/common-integrated-marketing-mistakes/._index.html,269
blog/virtual-sales-kickoff/index.html,48295
__MACOSX/blog/virtual-sales-kickoff/._index.html,269
blog/crowdsourcing-in-marketing-automation/index.html,46702
__MACOSX/blog/crowdsourcing-in-marketing-automation/._index.html,269
blog/inside-iron-horse-meet-todd-johnson/index.html,44912
__MACOSX/blog/inside-iron-horse-meet-todd-johnson/._index.html,269
blog/maturity-marketing-planning-measurement/index.html,46005
__MACOSX/blog/maturity-marketing-planning-measurement/._index.html,269
blog/revops-challenges/index.html,46458
__MACOSX/blog/revops-challenges/._index.html,269
blog/growth-marketing-resolutions/index.html,47583
__MACOSX/blog/growth-marketing-resolutions/._index.html,269
blog/employee-spotlight-meet-nora-maus/index.html,44844
__MACOSX/blog/employee-spotlight-meet-nora-maus/._index.html,269
blog/agile-marketing-planning-and-budgeting/index.html,46169
__MACOSX/blog/agile-marketing-planning-and-budgeting/._index.html,269
blog/account-based-marketing-terms/index.html,46329
__MACOSX/blog/account-based-marketing-terms/._index.html,269
blog/developer-interview-engagement/index.html,49049
__MACOSX/blog/developer-interview-engagement/._index.html,269
blog/simulive-webinar-benefits-and-challenges/index.html,46867
__MACOSX/blog/simulive-webinar-benefits-and-challenges/._index.html,269
blog/inside-iron-horse-meet-mala-cornwall/index.html,44977
__MACOSX/blog/inside-iron-horse-meet-mala-cornwall/._index.html,269
blog/the-five-and-a-half-pillars-of-data/index.html,46427
__MACOSX/blog/the-five-and-a-half-pillars-of-data/._index.html,269
blog/power-of-data-visualization/index.html,46447
__MACOSX/blog/power-of-data-visualization/._index.html,269
blog/what-is-b2d-marketing/index.html,48170
__MACOSX/blog/what-is-b2d-marketing/._index.html,269
blog/marketing-and-sales-alignment-abm/index.html,48668
__MACOSX/blog/marketing-and-sales-alignment-abm/._index.html,269
blog/wordpress-speed-optimization/index.html,47672
__MACOSX/blog/wordpress-speed-optimization/._index.html,269
blog/marketo-sandbox-what-it-is-and-what-it-isnt/index.html,47296
__MACOSX/blog/marketo-sandbox-what-it-is-and-what-it-isnt/._index.html,269
blog/lead-management-lead-status-values/index.html,47014
__MACOSX/blog/lead-management-lead-status-values/._index.html,269
blog/how-virtual-events-will-evolve-in-2021/index.html,48942
__MACOSX/blog/how-virtual-events-will-evolve-in-2021/._index.html,269
blog/marketing-automation-interview-questions/index.html,47818
__MACOSX/blog/marketing-automation-interview-questions/._index.html,269
blog/reevaluate-your-customer-journey/index.html,45754
__MACOSX/blog/reevaluate-your-customer-journey/._index.html,269
blog/pardot-certification/index.html,47189
__MACOSX/blog/pardot-certification/._index.html,269
blog/conversational-intelligence-technology-marketing-use-cases/index.html,47062
__MACOSX/blog/conversational-intelligence-technology-marketing-use-cases/._index.html,269
blog/humanized-not-personalized-marketing/index.html,47533
__MACOSX/blog/humanized-not-personalized-marketing/._index.html,269
blog/growth-in-a-time-of-crisis/index.html,47182
__MACOSX/blog/growth-in-a-time-of-crisis/._index.html,269
blog/developer-interview-solution-discovery/index.html,48288
__MACOSX/blog/developer-interview-solution-discovery/._index.html,269
blog/growth-marketing-trends-2021/index.html,48390
__MACOSX/blog/growth-marketing-trends-2021/._index.html,269
blog/employee-spotlight-meet-jay-jaime/index.html,45077
__MACOSX/blog/employee-spotlight-meet-jay-jaime/._index.html,269
blog/pros-cons-of-google-amp/index.html,46946
__MACOSX/blog/pros-cons-of-google-amp/._index.html,269
__MACOSX/blog/tag/._promotion,269
__MACOSX/blog/tag/._abm,269
__MACOSX/blog/tag/._virtualevents,269
__MACOSX/blog/tag/._datavisualization,269
__MACOSX/blog/tag/._developer-marketing,269
__MACOSX/blog/tag/._demandgen,269
__MACOSX/blog/tag/._webinar,269
__MACOSX/blog/tag/._simulive,269
__MACOSX/blog/tag/._growth-marketing,269
__MACOSX/blog/tag/._engagement,269
__MACOSX/blog/tag/._email-2,269
__MACOSX/blog/tag/._developer-relations,269
__MACOSX/blog/tag/._virtual-events,269
__MACOSX/blog/tag/._developer-marketing-channels,269
__MACOSX/blog/tag/._marketing,269
__MACOSX/blog/tag/._cmo-strategy,269
__MACOSX/blog/tag/._webdev,269
__MACOSX/blog/tag/._developermarketing,269
__MACOSX/blog/tag/._wordpress-speed-optimization,269
__MACOSX/blog/tag/._seo,269
__MACOSX/blog/tag/._messaging,269
__MACOSX/blog/tag/._presentation,269
__MACOSX/blog/tag/._rev-ops,269
__MACOSX/blog/tag/._martech,269
__MACOSX/blog/tag/._email,269
blog/virtual-event-sponsorship/index.html,47513
__MACOSX/blog/virtual-event-sponsorship/._index.html,269
blog/choosing-a-virtual-event-platform-4-questions/index.html,49053
__MACOSX/blog/choosing-a-virtual-event-platform-4-questions/._index.html,269
blog/centralization-of-revenue-operations-revops/index.html,46570
__MACOSX/blog/centralization-of-revenue-operations-revops/._index.html,269
blog/supporting-employee-health-through-wellness-challenges/index.html,48306
__MACOSX/blog/supporting-employee-health-through-wellness-challenges/._index.html,269
blog/how-to-promote-webinars/index.html,46359
__MACOSX/blog/how-to-promote-webinars/._index.html,269
blog/virtual-event-platform-origins/index.html,47240
__MACOSX/blog/virtual-event-platform-origins/._index.html,269
blog/martech-platforms-challenges/index.html,48490
__MACOSX/blog/martech-platforms-challenges/._index.html,269
blog/companies-doing-devrel-wrong/index.html,49372
__MACOSX/blog/companies-doing-devrel-wrong/._index.html,269
blog/how-to-build-effective-abm-strategy-infographic/index.html,45227
__MACOSX/blog/how-to-build-effective-abm-strategy-infographic/._index.html,269
__MACOSX/blog/topics/._demand-gen,269
__MACOSX/blog/topics/._customer-experience,269
__MACOSX/blog/topics/._cmo-strategy,269
__MACOSX/blog/topics/._martech,269
blog/what-is-developer-marketing/index.html,46900
__MACOSX/blog/what-is-developer-marketing/._index.html,269
blog/integrated-marketing-lessons-from-entertaining/index.html,48508
__MACOSX/blog/integrated-marketing-lessons-from-entertaining/._index.html,269
blog/paid-media-abm-program/index.html,47610
__MACOSX/blog/paid-media-abm-program/._index.html,269
blog/employee-spotlight-meet-darren-yuen/index.html,45046
__MACOSX/blog/employee-spotlight-meet-darren-yuen/._index.html,269
blog/how-to-take-a-contacts-only-approach-to-crm/index.html,49341
__MACOSX/blog/how-to-take-a-contacts-only-approach-to-crm/._index.html,269
blog/replacing-postponed-events/index.html,46483
__MACOSX/blog/replacing-postponed-events/._index.html,269
blog/marketo-lead-logs/index.html,47311
__MACOSX/blog/marketo-lead-logs/._index.html,269
dictionary/prospect/index.html,36535
__MACOSX/dictionary/prospect/._index.html,269
dictionary/drayage/index.html,36581
__MACOSX/dictionary/drayage/._index.html,269
dictionary/doing-business-as-dba/index.html,36613
__MACOSX/dictionary/doing-business-as-dba/._index.html,269
dictionary/closed-loop-marketing-clm/index.html,36612
__MACOSX/dictionary/closed-loop-marketing-clm/._index.html,269
